TIMESTAMP,DEVICE_ID,USER_ID,RAW_INTENSITY,STEPS,RAW_KIND,HEART_RATE, 0
1485007727,1,1,-1,-1,1,91, 1
1485007741,1,1,-1,-1,1,91, 2
1485007756,1,1,-1,-1,1,96, 3
1485007772,1,1,-1,-1,1,91, 4
1485007785,1,1,-1,-1,1,88, 5
1485007801,1,1,-1,-1,1,94, 6
1485007816,1,1,-1,-1,1,95, 7
1485007831,1,1,-1,-1,1,94, 8
1485007854,1,1,-1,-1,1,0, 9
1485007866,1,1,-1,-1,1,89, 10
1485007882,1,1,-1,-1,1,73, 11
1485007902,1,1,-1,-1,1,0, 12
1485007910,1,1,-1,-1,1,91, 13
1485007929,1,1,-1,-1,1,0, 14
1485007938,1,1,-1,-1,1,117, 15
1485007959,1,1,-1,-1,1,0, 16
1485007974,1,1,-1,-1,1,0, 17
1485007986,1,1,-1,-1,1,45, 18
1485008000,1,1,-1,-1,1,71, 19
1485008016,1,1,-1,-1,1,55, 20
1485008032,1,1,-1,-1,1,102, 21
1485008046,1,1,-1,-1,1,69, 22
1485008064,1,1,-1,-1,1,0, 23
1485008079,1,1,-1,-1,1,0, 24
1485008094,1,1,-1,-1,1,0, 25
1485008108,1,1,-1,-1,1,88, 26
1485008122,1,1,-1,-1,1,108, 27
1485008139,1,1,-1,-1,1,0, 28
1485008154,1,1,-1,-1,1,91, 29
1485008167,1,1,-1,-1,1,107, 30
1485008183,1,1,-1,-1,1,106, 31
1485008198,1,1,-1,-1,1,102, 32
1485008207,1,1,-1,-1,1,93, 33
1485008222,1,1,-1,-1,1,94, 34
1485008242,1,1,-1,-1,1,101, 35
1485008251,1,1,-1,-1,1,100, 36
1485008266,1,1,-1,-1,1,98, 37
1485008282,1,1,-1,-1,1,105, 38
1485008298,1,1,-1,-1,1,97, 39
1485008313,1,1,-1,-1,1,100, 40
1485008327,1,1,-1,-1,1,102, 41
1485008348,1,1,-1,-1,1,98, 42
1485008357,1,1,-1,-1,1,105, 43
1485008371,1,1,-1,-1,1,96, 44
1485008388,1,1,-1,-1,1,94, 45
1485008404,1,1,-1,-1,1,95, 46
1485008418,1,1,-1,-1,1,100, 47
1485008433,1,1,-1,-1,1,96, 48
1485008446,1,1,-1,-1,1,98, 49
1485008461,1,1,-1,-1,1,95, 50
1485008477,1,1,-1,-1,1,100, 51
1485008492,1,1,-1,-1,1,93, 52
1485008507,1,1,-1,-1,1,97, 53
1485008523,1,1,-1,-1,1,95, 54
1485008537,1,1,-1,-1,1,95, 55
1485008553,1,1,-1,-1,1,98, 56
1485008568,1,1,-1,-1,1,98, 57
1485008583,1,1,-1,-1,1,101, 58
1485008596,1,1,-1,-1,1,97, 59
1485008613,1,1,-1,-1,1,98, 60
1485008628,1,1,-1,-1,1,102, 61
1485008642,1,1,-1,-1,1,107, 62
1485008657,1,1,-1,-1,1,99, 63
1485008672,1,1,-1,-1,1,92, 64
1485008695,1,1,-1,-1,1,0, 65
1485008702,1,1,-1,-1,1,102, 66
1485008718,1,1,-1,-1,1,101, 67
1485008732,1,1,-1,-1,1,96, 68
1485008749,1,1,-1,-1,1,101, 69
1485008762,1,1,-1,-1,1,101, 70
1485008776,1,1,-1,-1,1,100, 71
1485008792,1,1,-1,-1,1,96, 72
1485008807,1,1,-1,-1,1,100, 73
1485008827,1,1,-1,-1,1,72, 74
1485008836,1,1,-1,-1,1,100, 75
1485008852,1,1,-1,-1,1,102, 76
1485008867,1,1,-1,-1,1,100, 77
1485008882,1,1,-1,-1,1,95, 78
1485008897,1,1,-1,-1,1,95, 79
1485008913,1,1,-1,-1,1,94, 80
1485008927,1,1,-1,-1,1,96, 81
1485008942,1,1,-1,-1,1,98, 82
1485008958,1,1,-1,-1,1,92, 83
1485008977,1,1,-1,-1,1,89, 84
1485008992,1,1,-1,-1,1,91, 85
1485009001,1,1,-1,-1,1,92, 86
1485009019,1,1,-1,-1,1,96, 87
1485009040,1,1,-1,-1,1,0, 88
1485009047,1,1,-1,-1,1,93, 89
1485009067,1,1,-1,-1,1,98, 90
1485009083,1,1,-1,-1,1,97, 91
1485009097,1,1,-1,-1,1,74, 92
1485009106,1,1,-1,-1,1,91, 93
1485009124,1,1,-1,-1,1,101, 94
1485009137,1,1,-1,-1,1,94, 95
1485009158,1,1,-1,-1,1,93, 96
1485009168,1,1,-1,-1,1,101, 97
1485009183,1,1,-1,-1,1,96, 98
1485009198,1,1,-1,-1,1,95, 99
1485009212,1,1,-1,-1,1,61, 100
1485009228,1,1,-1,-1,1,90, 101
1485009247,1,1,-1,-1,1,80, 102
1485009257,1,1,-1,-1,1,98, 103
1485009272,1,1,-1,-1,1,97, 104
1485009290,1,1,-1,-1,1,97, 105